Vehicle #,Driver,Year_t1,Make_t1,Model_t1,Color,VIN,Vehicle  #,Year_t3,Make_t3,Model_t3,Mileage,Last Service,Service?,Unnamed: 9,Unnamed: 10,Vehicle #_t5,Calvin #,Vehicle Year,Make,Model,Title,Date_of_Service,Notes,Depts,Vehicle,Veh #,Current Mileage,Last LOF,Tire Condition IN 32nds,Overall condition,KBB Value
#3,none,2015.0,Ford,Escape,NULL,1FMCU0F77FUC24224,#3,2015.0,Ford,Escape,84773.0,5/17/2023,Yes,NULL,NULL,61.0,CS #3,2015,FORD,ESCAPE,Y,NULL,NULL,camp saf,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
44,amanda harper,2011.0,Ford ,Econoline,White,1FTNE1EW8BDA20664,44,2011.0,Ford ,Econoline,14005.0,2/1/2023,Yes,NULL,NULL,44.0,CD,2011,FORD,ECONOL,Y,NULL,NULL,c-dining,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,handicap,2003.0,Ford,E250 Econoline,NULL,1FTNE24L03HB89987,13,2003.0,Ford,E250 Econoline,7894.0,11/8/2023,Yes,NULL,NULL,14.0,HANDICAP,2003,FORD,ECONOL,Y,11/8/2023,full service and replaced blown left head light bulb.,building ser,2003 Ford E250 ECONOLINE,13,7934,7894,F-12 R-12,Average,"$7,734.00 "
10,john z,2014.0,Ford,E-250,White,1FTNE2EW1EDA31614,10,2014.0,Ford,E-250,19019.0,11/7/2023,Yes,NULL,NULL,63.0,10,2014,FORD,ECONOL,Y,10/25/2023,r and r tail light bulbs,building ser,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,john z,2014.0,Ford,E-250,White,1FTNE2EW1EDA31614,10,2014.0,Ford,E-250,19019.0,11/7/2023,Yes,NULL,NULL,63.0,10,2014,FORD,ECONOL,Y,11/7/2023,full service and inspection,building ser,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,joe,2011.0,Ford,Econoline,White,1FTNE2EW2BDB09118,3,2011.0,Ford,Econoline,108802.0,10/25/2023,Yes,NULL,NULL,72.0,3,2011,FORD,ECONOL,Y,10/25/2023,service and oil change,building ser,2011 Ford Econoline,3,109612,108802,F-13 R-14,Below Average,"$7,509.00 "
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,OO7,BS/Advancement,White,8323,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Fac #4,BS,Green EZ/Go,6377,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Fac #8,BS,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W06HB09002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SOLD,2006,FORD,ECONOL,Y,NULL,NULL,none,Fac #9,BS/Custodial/Emily,Burgundy,751,NULL,NULL,NULL
32,alton,2005.0,Chevy,E150 Econoline,NULL,1FTRE14W85HA43457,32,2005.0,Chevy,E150 Econoline,81064.0,11/1/2023,Yes,NULL,NULL,24.0,GROUNDS,2005,FORD,ECONOL,Y,11/1/2023,"replace battery, fix bent rear door and replace bad rear door latch. service",building ser,2005 Ford E150 Econoline,32,81804,81064,F-8 R-11,Below Average,"$4,866.00 "
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,none,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,none,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0,SCRAPPED,2005,FORD,ECONOL,NULL,NULL,NULL,none,Golf Carts,NULL,NULL,NULL,NULL,NULL,NULL
