Calvin #,Color,Current Mileage,Date_of_Service,Dept_t1,Dept_t3,Driver,Driver_x,Driver_y,KBB Value,Last LOF,Last Service,Make,Make_t1,Make_t3,Mileage,Model,Model_t1,Model_t3,Notes,Overall condition,Service?,Tire Condition IN 32nds,Title,Unnamed: 10,Unnamed: 9,VIN,Veh #,Vehicle,Vehicle  #,Vehicle #,Vehicle #_t5,Vehicle Year,Year_t1,Year_t3
SCRAPPED,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,BS,Fac #8,NULL,NULL,43.0,2005,NULL,NULL
SCRAPPED,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,BS/Custodial/Emily,Fac #9,NULL,NULL,43.0,2005,NULL,NULL
Scrapped,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,BS/Advancement,Golf Carts,NULL,NULL,43.0,2005,NULL,NULL
Scrapped,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,BS/Advancement,Golf Carts,NULL,NULL,43.0,2005,NULL,NULL
Scrapped,NULL,White,NULL,none,none,none,none,none,NULL,8323,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,BS/Advancement,OO7,NULL,NULL,43.0,2005,NULL,NULL
Scrapped,NULL,Green EZ/Go,NULL,none,none,none,none,none,NULL,6377,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,BS,Fac #4,NULL,NULL,43.0,2005,NULL,NULL
Scrapped,NULL,Burgundy,NULL,none,none,none,none,none,NULL,751,NULL,FORD,NULL,NULL,NULL,ECONOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1FTRE14W85HB15323,BS,Fac #8,NULL,NULL,43.0,2005,NULL,NULL
Scrapped,White,Burgundy,NULL,none,none,none,perry,none,NULL,751,4/4/2023,FORD,Ford ,Ford ,18863.0,ECONOL,Transit 250 Cargo,Transit 250 Cargo,NULL,NULL,Yes,NULL,Y,NULL,NULL,1FTRE14W85HB15323,BS/Custodial/Emily,Fac #9,7,7,43.0,2005,2018.0,2018.0
7,White,24121,11/13/2023,building ser,building ser,perry,daniel,none,"$29,593.00 ",18863,4/4/2023,FORD,Ford ,Ford ,18863.0,TRANSI,Transit 250 Cargo,Transit 250 Cargo,replace battery and figure out electric draw,Above Average,Yes,F-9 R-9,Y,NULL,NULL,1FTYR1ZM1JKA59312,7,2018 Ford Transit 250 Cargo,7,7,74.0,2018,2018.0,2018.0
4,White,Green EZ/Go,11/13/2023,building ser,building ser,daniel,ryan rooks,none,NULL,6377,4/25/2023,FORD,Ford,Ford,25619.0,TRANSI,Transit,Transit,replace battery and figure out electric draw,NULL,Yes,NULL,Y,NULL,NULL,1FTYR1ZM3GKA47834,BS,Fac #4,4,4,68.0,2016,2016.0,2016.0
